;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informações do Empreendimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Financiamento da Obra;;;;;;;;;;;;;Informações das Unidades;;;;;;;;;;;;;;;;;;;;;;;;;;Financiamento ao Comprador;;;;;
RGI;Código no Mapa;Empreendimento;Edifício;Zona de Valor;Endereço;Bairro;Distrito;Região;Cidade;UF;CEP;Zoneamento;Setor;Quadra;Data Lançamento;Data Entrega;Data Ocupação;Data Projeto Aprovado;Tipologia;Classificação do tipo;Padrão;Status;Área Terreno;Área Total Construída;Torres;Nº de Elevadores;Registro de Incorporação;Infraestrutura;Grupo Incorporador Apelido;Grupo Incorporador;Incorporadora 1;Incorporadora 2;Incorporadora 3;Incorporadora 4;Construtora 1;Construtora 2;Vendedora 1;Vendedora 2;Vendedora 3;Vendedora 4;Banco;Unidade;Dormitórios;Suítes;Banheiros;Nº Vagas;Área Privativa;Área Total;Nº Total de Unidades;Nº Unidades por Pavimento;Nº de Pavimentos;Valor do Dolar no lançamento;(VMU)Preço de venda da unidade no lançamento;(VUV)Preço m2 privativo no lançamento;(VMU)Preço de venda da unidade atualizado INCC;(VUV)Preço m2 privativo atualizado INCC;(VMU)Preço de venda da unidade atualizado IGPM;(VUV)Preço m2 privativo atualizado IGPM;(VMU)Preço de venda da unidade atualizado CUB;(VUV)Preço m2 privativo atualizado CUB;(VMU)Preço de venda da unidade na data pesquisa;(VUV)Preço m2 privativo na data pesquisa;% Unidades Vendidas;% Unidades a Vender;Unidades Vendidas;Qtd em Estoque;VGV;Modalidade;Banco;Condições de pagamento;Responsabilidade do Comprador;Data Pesquisa;Observações
32273218;4;ALVORADA;;SOROCABA - SP;AV BETANIA, 800;JARDIM BETANIA;SEM DISTRITO;;SOROCABA;SP;18071-590;ZR 3;0;0;mai/17;mar/19;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;830,00;;1;1;;;L FURTADO;L FURTADO CONSTRUTORA;L FURTADO CONSTRUTORA;;;;L FURTADO CONSTRUTORA;;L FURTADO CONSTRUTORA;HAREA NEGOCIOS IMOBILIARIOS;;;;TERREO;1;0;1;1;42,20;63,30;1;6;3;3,21;131.991,00;3.127,75;138.917,83;3.291,89;140.896,52;3.338,78;137.298,15;3.253,51;131.991,00;3.127,75;100,00;0,00;1;0;131.991,00;Preço Fechado;;;;09/05/2018;
383111111;5;ARVOREDO;;SOROCABA - SP;R SANTI PEGORETTI, 50;JARDIM GERMINIANI;SEM DISTRITO;INTERIOR;SOROCABA;SP;18080-640;;0;0;jul/14;jun/16;;;Res. Horizontal;MEDIO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;14.000,00;;0;0;;Quadra Poli-Esportiva, Churrasqueira, Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Estacionamento de Visitantes, Piscina Infantil, Forno a Lenha, Pista de Cooper, Playground, Jardins, Fitness,;VILAR;VILAR EMPREENDIMENTOS;VILAR EMPREENDIMENTOS;;;;VILAR EMPREENDIMENTOS;;MENDES ORTEGA ASSESSORIA IMOBILIARIA;;;;;SOBRADO;3;1;2;2;138,12;207,18;42;0;2;2,22;442.035,00;3.200,37;545.479,17;3.949,31;561.854,91;4.067,88;517.953,83;3.750,03;458.000,00;3.315,96;100,00;0,00;42;0;18.565.470,00;Preço Fechado;;;;03/12/2015;Plantao (15) 3037-3335
39937813;6;ARVORES DA AMAZONIA;TORRE 1, TORRE 2, TORRE 3;SOROCABA - SP;R SERGIO LAMARCA, 240;JARDIM SAO CARLOS;SEM DISTRITO;INTERIOR;SOROCABA;SP;18046-370;ZR 2;0;0;ago/13;set/18;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;PRONTO;3.440,05;;3;2;;Quadra Gramada, Piscina Adulta, Salao de Festas, Playground, Fitness,;MP;MP CONSTRUTORA E INCORPORADORA;MP CONSTRUTORA E INCORPORADORA;;;;MP CONSTRUTORA E INCORPORADORA;;MP CONSTRUTORA E INCORPORADORA;;;;;2 DORMS;2;0;1;1;51,00;76,50;180;4;16;2,34;135.828,00;2.663,29;179.652,56;3.522,59;181.566,08;3.560,11;168.937,87;3.312,50;175.200,00;3.435,29;81,11;18,89;146;34;24.449.040,00;Preço Fechado;;;;01/10/2018;"Plantão de vendas: (15)3217-6252
CG 03/05/2018: Ficha atualizada. Nao encontrei fotos da implantaçao."
39937813;6;ARVORES DA AMAZONIA;TORRE 1, TORRE 2, TORRE 3;SOROCABA - SP;R SERGIO LAMARCA, 240;JARDIM SAO CARLOS;SEM DISTRITO;INTERIOR;SOROCABA;SP;18046-370;ZR 2;0;0;ago/13;set/18;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;PRONTO;3.440,05;;3;2;;Quadra Gramada, Piscina Adulta, Salao de Festas, Playground, Fitness,;MP;MP CONSTRUTORA E INCORPORADORA;MP CONSTRUTORA E INCORPORADORA;;;;MP CONSTRUTORA E INCORPORADORA;;MP CONSTRUTORA E INCORPORADORA;;;;;DUPLEX;3;2;3;2;102,00;153,00;6;4;16;2,34;277.398,00;2.719,59;366.899,77;3.597,06;370.807,69;3.635,37;345.017,42;3.382,53;329.000,00;3.225,49;100,00;0,00;6;0;1.664.388,00;Preço Fechado;;;;03/05/2018;
39937813;6;ARVORES DA AMAZONIA;TORRE 1, TORRE 2, TORRE 3;SOROCABA - SP;R SERGIO LAMARCA, 240;JARDIM SAO CARLOS;SEM DISTRITO;INTERIOR;SOROCABA;SP;18046-370;ZR 2;0;0;ago/13;set/18;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;PRONTO;3.440,05;;3;2;;Quadra Gramada, Piscina Adulta, Salao de Festas, Playground, Fitness,;MP;MP CONSTRUTORA E INCORPORADORA;MP CONSTRUTORA E INCORPORADORA;;;;MP CONSTRUTORA E INCORPORADORA;;MP CONSTRUTORA E INCORPORADORA;;;;;GARDEN;2;0;1;1;76,00;114,00;6;4;16;2,34;139.788,00;1.839,32;184.890,25;2.432,77;186.859,55;2.458,68;173.863,17;2.287,68;232.470,00;3.058,82;100,00;0,00;6;0;838.728,00;Preço Fechado;;;;30/10/2017;
37374413;7;ATELIE CAMPOLIM;TORRE 1, TORRE 2;SOROCABA - SP;R ALMIRANTE GIACHETTA, 143;PARQUE CAMPOLIM;SEM DISTRITO;INTERIOR;SOROCABA;SP;18048-000;;0;0;jan/13;out/15;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;PRONTO;4.555,00;;2;2;;Academia, Churrasqueira, Piscina Adulta, Salao de Festas, Playground, Brinquedoteca, Fitness,;CRB;CRB INCORPORACAO E CONSTRUCAO LTDA;CRB INCORPORACAO E CONSTRUCAO LTDA;;;;CRB INCORPORACAO E CONSTRUCAO LTDA;;CRB IMOVEIS;;;;;2 DORMS;2;1;2;2;60,00;90,00;72;4;9;2,03;207.539,00;3.458,98;290.621,11;4.843,68;282.460,30;4.707,67;275.784,24;4.596,40;230.000,00;3.833,33;100,00;0,00;72;0;14.942.808,00;Preço Fechado;;;;09/10/2013;
39420713;8;ATRIUM;;SOROCABA - SP;R ORLANDO BISMARA, 195;JARDIM NOVA MANCHESTER;SEM DISTRITO;INTERIOR;SOROCABA;SP;18052-015;;0;0;set/13;out/17;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;PRONTO;1.518,35;;1;2;;Piscina Adulta, Salao de Festas, Piscina Infantil, Fitness,;CIVIL;CIVIL ENGENHARIA E EMPREENDIMENTOS;CIVIL ENGENHARIA E EMPREENDIMENTOS;;;;CIVIL ENGENHARIA E EMPREENDIMENTOS;;MENDES ORTEGA ASSESSORIA IMOBILIARIA;;;;;3 DORMS;3;1;2;2;71,58;107,37;39;8;9;2,27;251.370,00;3.511,74;331.034,95;4.624,69;331.051,94;4.624,93;312.265,37;4.362,47;313.000,00;4.372,73;100,00;0,00;39;0;9.803.430,00;Preço Fechado;;;;04/05/2018;amanda@civileng.com.br. 04/05/2018 - Ficha Revisada.
39420713;8;ATRIUM;;SOROCABA - SP;R ORLANDO BISMARA, 195;JARDIM NOVA MANCHESTER;SEM DISTRITO;INTERIOR;SOROCABA;SP;18052-015;;0;0;set/13;out/17;;;Res. Vertical;MEDIO;PADRAO MEDIO-C/ELEVADOR;PRONTO;1.518,35;;1;2;;Piscina Adulta, Salao de Festas, Piscina Infantil, Fitness,;CIVIL;CIVIL ENGENHARIA E EMPREENDIMENTOS;CIVIL ENGENHARIA E EMPREENDIMENTOS;;;;CIVIL ENGENHARIA E EMPREENDIMENTOS;;MENDES ORTEGA ASSESSORIA IMOBILIARIA;;;;;COBERTURA;3;2;3;2;138,00;207,00;4;8;9;2,27;429.401,00;3.111,60;565.488,08;4.097,74;565.517,10;4.097,95;533.425,08;3.865,40;527.000,00;3.818,84;100,00;0,00;4;0;1.717.604,00;Preço Fechado;;;;16/01/2018;
39420713;8;ATRIUM;;SOROCABA - SP;R ORLANDO BISMARA, 195;JARDIM NOVA MANCHESTER;SEM DISTRITO;INTERIOR;SOROCABA;SP;18052-015;;0;0;set/13;out/17;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;PRONTO;1.518,35;;1;2;;Piscina Adulta, Salao de Festas, Piscina Infantil, Fitness,;CIVIL;CIVIL ENGENHARIA E EMPREENDIMENTOS;CIVIL ENGENHARIA E EMPREENDIMENTOS;;;;CIVIL ENGENHARIA E EMPREENDIMENTOS;;MENDES ORTEGA ASSESSORIA IMOBILIARIA;;;;;3 DORMS;3;1;2;2;66,00;99,00;39;8;9;2,27;237.619,00;3.600,29;312.925,94;4.741,30;312.942,00;4.741,55;295.183,14;4.472,47;275.500,00;4.174,24;100,00;0,00;39;0;9.267.141,00;Preço Fechado;;;;16/01/2018;
34948316;9;BEATRIZ;;SOROCABA - SP;R JERONIMO ANTONIO FIUZA, 130;VILA HORTENCIA;SEM DISTRITO;;SOROCABA;SP;18020-280;ZR 2;0;0;jun/15;jun/16;;;Res. Horizontal;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;PRONTO;1.721,41;;0;0;;;ESC;ESC CONSTRUTORA E INCORPORADORA;ESC CONSTRUTORA E INCORPORADORA;3R INCORPORADORA;;;ESC CONSTRUTORA E INCORPORADORA;3R INCORPORADORA;NETO CASA;;;;;CASA;2;0;1;1;54,00;76,00;14;0;1;3,11;190.000,00;3.518,52;220.824,47;4.089,34;227.321,04;4.209,65;212.063,61;3.927,11;210.000,00;3.888,89;100,00;0,00;14;0;2.660.000,00;Preço Fechado;;;;18/12/2017;escconstrutora.wordpress.com/2016/03/14/residencial-beatriz/
39681315;10;BEETHOVEN;;SOROCABA - SP;R VISCONDE DE TAUNAY, 333;VILA JARDINI;SEM DISTRITO;;SOROCABA;SP;18044-040;ZC;0;0;ago/15;ago/19;;;Res. Vertical;MEDIO;PADRAO MEDIO-C/ELEVADOR;LANÇAMENTO;1.761,60;;1;2;;Bar, Piscina Adulta, Espaco Gourmet, Salao de Festas, Piscina Infantil, Playground, Fitness,;PLANETA;CONSTRUTORA PLANETA;CONSTRUTORA PLANETA;;;;CONSTRUTORA PLANETA;;CONSTRUTORA PLANETA;;;;;3 DORMS;3;3;3;3;130,00;195,00;60;4;15;3,51;574.800,00;4.421,54;660.524,84;5.080,96;681.108,90;5.239,30;640.031,97;4.923,32;666.000,00;5.123,08;85,00;15,00;51;9;34.488.000,00;Preço Fechado;;;;06/09/2018;CG 03/05/2018: Ficha atualizada.
32271218;11;BELISSIMUS;;SOROCABA - SP;AL DAS MILTONIAS, 244;JARDIM SIMUS;SEM DISTRITO;;SOROCABA;SP;18055-143;ZR 2;0;0;ago/18;mar/20;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;LANÇAMENTO;900,00;;1;1;;;L FURTADO;L FURTADO CONSTRUTORA;L FURTADO CONSTRUTORA;;;;L FURTADO CONSTRUTORA;;L FURTADO CONSTRUTORA;;;;;2 DORMS;2;0;1;1;45,00;67,50;30;4;7;3,93;170.270,00;3.783,78;170.270,00;3.783,78;170.270,00;3.783,78;170.270,00;3.783,78;171.990,00;3.822,00;20,00;80,00;6;24;5.108.100,00;Preço Fechado;;;;24/09/2018;"IFL: Nenhuma foto de implantação disponível. 24.09.2018
PSB: Previsão de lançamento para inicio de junho. (Flavia - L Furtado). 03.05"
32270218;12;BELLA PARK;;SOROCABA - SP;R COMENDADOR VICENTE AMARAL, 2750;JARDIM GUARUJA;SEM DISTRITO;;SOROCABA;SP;18050-600;ZR 3;0;0;mar/18;dez/18;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;LANÇAMENTO;1.447,10;;1;0;;;3R;3R INCORPORADORA;3R INCORPORADORA;;;;3R INCORPORADORA;;3R INCORPORADORA;;;;;GARDEN;2;0;1;1;48,00;72,00;7;7;3;3,28;160.000,00;3.333,33;163.390,44;3.403,96;167.017,22;3.479,52;162.819,77;3.392,08;185.000,00;3.854,17;42,86;57,14;3;4;1.120.000,00;Preço Fechado;;;;04/09/2018;
32270218;12;BELLA PARK;;SOROCABA - SP;R COMENDADOR VICENTE AMARAL, 2750;JARDIM GUARUJA;SEM DISTRITO;;SOROCABA;SP;18050-600;ZR 3;0;0;mar/18;dez/18;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;LANÇAMENTO;1.447,10;;1;0;;;3R;3R INCORPORADORA;3R INCORPORADORA;;;;3R INCORPORADORA;;3R INCORPORADORA;;;;;2 DORMS;2;0;1;1;45,00;67,50;21;7;3;3,28;154.000,00;3.422,22;157.263,30;3.494,74;160.754,07;3.572,31;156.714,03;3.482,53;154.000,00;3.422,22;33,33;66,67;7;14;3.234.000,00;Preço Fechado;;;;04/09/2018;
38987317;13;BELLA VILLE;;SOROCABA - SP;R HENRIQUE CARRARA AMARAL ROGICK, 751;LOPES DE OLIVEIRA;SEM DISTRITO;;SOROCABA;SP;18071-307;ZR 3;0;0;dez/16;dez/18;;;Res. Horizontal;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;7.044,94;;0;0;;Playground,;HABITER;HABITER CONSTRUTORA E INCORPORADORA LTDA;HABITER CONSTRUTORA E INCORPORADORA LTDA;;;;HABITER CONSTRUTORA E INCORPORADORA LTDA;;IMOVEIS SOROCABA;;;;;GARDEN;2;0;1;1;46,00;69,00;35;0;2;1,71;130.560,00;2.838,26;139.944,50;3.042,27;137.567,91;2.990,61;137.243,99;2.983,56;142.000,00;3.086,96;45,71;54,29;16;19;4.569.600,00;Preço Fechado;;;;21/09/2018;(15) 98160-2343
38987317;13;BELLA VILLE;;SOROCABA - SP;R HENRIQUE CARRARA AMARAL ROGICK, 751;LOPES DE OLIVEIRA;SEM DISTRITO;;SOROCABA;SP;18071-307;ZR 3;0;0;dez/16;dez/18;;;Res. Horizontal;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;7.044,94;;0;0;;Playground,;HABITER;HABITER CONSTRUTORA E INCORPORADORA LTDA;HABITER CONSTRUTORA E INCORPORADORA LTDA;;;;HABITER CONSTRUTORA E INCORPORADORA LTDA;;IMOVEIS SOROCABA;;;;;CASA;2;0;1;1;46,00;69,00;35;0;2;1,71;132.480,00;2.880,00;142.002,51;3.087,01;139.590,97;3.034,59;139.262,28;3.027,44;133.000,00;2.891,30;94,29;5,71;33;2;4.636.800,00;Preço Fechado;;;;21/09/2018;
362371014;14;BLUE AFONSO VERGUEIRO;;SOROCABA - SP;AV DOUTOR AFONSO VERGUEIRO, 248;VILA AUGUSTA;SEM DISTRITO;;SOROCABA;SP;18040-000;;0;0;jul/14;mar/17;;;Flat/ Hotel;;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;1.800,00;;1;3;;Academia, Quadra Poli-Esportiva, Churrasqueira, Piscina Adulta, Espaco Gourmet, Salao de Festas, Piscina Infantil, Playground, Fitness,;BRINK;BRINK INCORPORACOES E PARTICIPACOES;BRINK INCORPORACOES E PARTICIPACOES;;;;BRINK INCORPORACOES E PARTICIPACOES;;BRINK INCORPORACOES E PARTICIPACOES;MENDES ORTEGA ASSESSORIA IMOBILIARIA;;;;1 DORM;1;0;1;1;44,88;77,00;136;16;11;2,22;167.000,00;3.721,03;206.081,02;4.591,82;212.267,74;4.729,67;195.681,99;4.360,11;175.000,00;3.899,29;100,00;0,00;136;0;22.712.000,00;Preço Fechado;;;;21/09/2016;
362371014;14;BLUE AFONSO VERGUEIRO;;SOROCABA - SP;AV DOUTOR AFONSO VERGUEIRO, 248;VILA AUGUSTA;SEM DISTRITO;;SOROCABA;SP;18040-000;;0;0;jul/14;mar/17;;;Flat/ Hotel;;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;1.800,00;;1;3;;Academia, Quadra Poli-Esportiva, Churrasqueira, Piscina Adulta, Espaco Gourmet, Salao de Festas, Piscina Infantil, Playground, Fitness,;BRINK;BRINK INCORPORACOES E PARTICIPACOES;BRINK INCORPORACOES E PARTICIPACOES;;;;BRINK INCORPORACOES E PARTICIPACOES;;BRINK INCORPORACOES E PARTICIPACOES;MENDES ORTEGA ASSESSORIA IMOBILIARIA;;;;1 DORM;1;0;1;1;58,68;77,02;44;16;11;2,22;219.600,00;3.742,33;270.990,37;4.618,10;279.125,72;4.756,74;257.315,96;4.385,07;240.000,00;4.089,98;100,00;0,00;44;0;9.662.400,00;Preço Fechado;;;;26/07/2016;
